backend,submode,bit_width,episode_id,plaintext_m,outcome,queries,setup_latency_us,query_latency_us,total_latency_us,setup_bytes,query_bytes,total_bytes,recovered,recovered_value
unsafe_compare,released_compare_bits,8,1,104,exact_recovery,8,116,82586138,82586254,0,162056,162056,1,104
orhe_attack,fresh_unregistered_threshold,8,1,104,blocked_by_rejection,1,181,118,299,20296,20256,40552,0,0
orhe_attack,registered_threshold_if_supported,8,1,104,blocked_by_rejection,1,165,127,292,20296,60776,81072,0,0
