label,mode,batch_size,num_comparisons,tfhe_eval_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,accum_init_us,blind_rotate_us,extract_us,key_switch_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,16,16,140691502,0,0,140691668,140691502,0,0,40,2440058,9,36566,0,344352,0,0,0,0
threshold_filter_lt,orhe,16,16,279566428,197353,48194,279812198,279566428,197353,48194,26,2446471,11,35865,1226624,749472,256,1307904,345049,2592
