label,mode,batch_size,num_comparisons,tfhe_eval_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,accum_init_us,blind_rotate_us,extract_us,key_switch_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,64,64,565205361,0,0,565206103,565205361,0,0,116,9807784,54,150946,0,1316640,0,0,0,0
threshold_filter_lt,orhe,64,64,1122035297,896451,181856,1123114466,1122035297,896451,181856,113,9754457,54,151750,4906496,2937120,1024,5231616,1319305,2592
