label,mode,batch_size,num_comparisons,tfhe_eval_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,accum_init_us,blind_rotate_us,extract_us,key_switch_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,8,8,70279715,0,0,70279801,70279715,0,0,14,1217402,7,18779,0,182304,0,0,0,0
threshold_filter_lt,orhe,8,8,140490345,135763,24284,140650501,140490345,135763,24284,16,1249801,7,19134,613312,384864,128,653952,182673,2592
