label,mode,batch_size,num_comparisons,tfhe_eval_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,accum_init_us,blind_rotate_us,extract_us,key_switch_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,32,32,281075486,0,0,281075824,281075486,0,0,60,4866552,32,80077,0,668448,0,0,0,0
threshold_filter_lt,orhe,32,32,558338250,418688,89697,558847048,558338250,418688,89697,51,4839950,24,71898,2453248,1478688,512,2615808,669801,2592
