batch_size,mode,num_runs,num_comparisons_mean,num_comparisons_std,exec_tfhe_us_mean,exec_tfhe_us_std,verify_tfhe_us_mean,verify_tfhe_us_std,prover_us_mean,prover_us_std,verifier_us_mean,verifier_us_std,end_to_end_online_us_mean,end_to_end_online_us_std,compare_tfhe_us_mean,compare_tfhe_us_std,compare_prover_us_mean,compare_prover_us_std,compare_verifier_us_mean,compare_verifier_us_std,exec_subtraction_us_mean,exec_subtraction_us_std,exec_signbit_pbs_us_mean,exec_signbit_pbs_us_std,exec_internal_ks_us_mean,exec_internal_ks_us_std,exec_final_cmp_ks_us_mean,exec_final_cmp_ks_us_std,verify_subtraction_us_mean,verify_subtraction_us_std,verify_final_cmp_ks_us_mean,verify_final_cmp_ks_us_std,accum_init_us_mean,accum_init_us_std,blind_rotate_us_mean,blind_rotate_us_std,extract_us_mean,extract_us_std,proof_size_bytes_mean,proof_size_bytes_std,ciphertext_size_bytes_mean,ciphertext_size_bytes_std,metadata_size_bytes_mean,metadata_size_bytes_std,total_online_comm_bytes_mean,total_online_comm_bytes_std,server_state_bytes_mean,server_state_bytes_std,gate_state_bytes_mean,gate_state_bytes_std
8,orhe,10,8.000,0.000,112885073.200,522195.007,0.000,0.000,8046508.500,302726.798,1898958.100,12143.737,122832568.100,556801.875,112885073.200,522195.007,8046508.500,302726.798,1898958.100,12143.737,110893023.500,513595.113,1923923.700,11862.088,17559.300,2735.684,68126.000,9397.357,0.000,0.000,0.000,0.000,18.000,1.414,1906339.100,9276.691,7.300,1.160,36875168.000,0.000,384864.000,0.000,128.000,0.000,36915808.000,0.000,182673.000,0.000,2592.000,0.000
8,plain_tfhe,10,8.000,0.000,109979279.300,496215.224,0.000,0.000,0.000,0.000,0.000,0.000,109979488.000,496215.111,109979279.300,496215.224,0.000,0.000,0.000,0.000,107997061.700,483572.732,1918306.700,8822.246,15213.600,338.083,63910.900,15396.208,0.000,0.000,0.000,0.000,22.100,1.663,1903061.700,8865.192,9.300,1.947,0.000,0.000,182304.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,orhe,10,16.000,0.000,224893924.600,1902138.461,0.000,0.000,17766578.800,3384653.552,3982076.800,544887.799,246646135.600,2405075.459,224893924.600,1902138.461,17766578.800,3384653.552,3982076.800,544887.799,220790870.500,2100690.747,3967631.300,329283.127,34545.400,4164.433,135422.800,27594.417,0.000,0.000,0.000,0.000,36.000,3.055,3933034.200,328700.516,15.700,3.945,73750336.000,0.000,749472.000,0.000,256.000,0.000,73831616.000,0.000,345049.000,0.000,2592.000,0.000
16,plain_tfhe,10,16.000,0.000,219767034.900,1028461.796,0.000,0.000,0.000,0.000,0.000,0.000,219767419.400,1028470.339,219767034.900,1028461.796,0.000,0.000,0.000,0.000,215837647.700,1009996.337,3843579.200,16525.305,32397.400,4416.850,85808.000,19575.326,0.000,0.000,0.000,0.000,46.200,1.989,3811121.400,16802.785,14.200,2.251,0.000,0.000,344352.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,orhe,10,32.000,0.000,447841207.700,2897422.147,0.000,0.000,40506585.500,5797084.697,8532838.600,958856.262,496888045.500,3913629.569,447841207.700,2897422.147,40506585.500,5797084.697,8532838.600,958856.262,439226906.400,3264429.370,8313169.600,620030.272,71925.500,7360.890,301131.700,43625.538,0.000,0.000,0.000,0.000,76.400,8.422,8241134.700,618813.798,33.000,5.437,147500672.000,0.000,1478688.000,0.000,512.000,0.000,147663232.000,0.000,669801.000,0.000,2592.000,0.000
32,plain_tfhe,10,32.000,0.000,437439695.200,370100.304,0.000,0.000,0.000,0.000,0.000,0.000,437440423.800,370111.447,437439695.200,370100.304,0.000,0.000,0.000,0.000,429644099.800,343728.378,7680201.000,16251.880,63265.200,5545.300,115394.400,31902.203,0.000,0.000,0.000,0.000,90.500,6.485,7616817.200,12707.056,28.100,2.132,0.000,0.000,668448.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,orhe,10,64.000,0.000,901740858.900,9517562.862,0.000,0.000,71721848.600,12339839.870,15690505.400,756640.645,989168089.400,8043591.936,901740858.900,9517562.862,71721848.600,12339839.870,15690505.400,756640.645,885389842.800,9817576.401,15766232.500,462442.126,144281.800,13210.028,584783.600,13300.634,0.000,0.000,0.000,0.000,151.600,11.443,15621734.100,456295.403,65.000,4.899,295001344.000,0.000,2937120.000,0.000,1024.000,0.000,295326464.000,0.000,1319305.000,0.000,2592.000,0.000
64,plain_tfhe,10,64.000,0.000,883515314.800,23866036.279,0.000,0.000,0.000,0.000,0.000,0.000,883516722.400,23866027.172,883515314.800,23866036.279,0.000,0.000,0.000,0.000,867780610.200,23373754.978,15559126.200,488109.035,124868.300,3980.668,175578.400,34270.570,0.000,0.000,0.000,0.000,182.200,10.185,15434019.700,488674.148,56.000,2.404,0.000,0.000,1316640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
