family_member,arity,lin,num_linear_stages,pbs,num_pbs,depth,pbs_depth,num_runs,tfhe_eval_us_mean,tfhe_eval_us_std,prover_us_mean,prover_us_std,verifier_us_mean,verifier_us_std,end_to_end_online_us_mean,end_to_end_online_us_std,proof_size_bytes_mean,proof_size_bytes_std,ciphertext_size_bytes_mean,ciphertext_size_bytes_std,metadata_size_bytes_mean,metadata_size_bytes_std,total_online_comm_bytes_mean,total_online_comm_bytes_std,server_state_bytes_mean,server_state_bytes_std,gate_state_bytes_mean,gate_state_bytes_std
f1,1,1,1,1,1,1,1,10,2040443.700,88032.970,637634.300,12512.647,2346740.400,127071.777,5024883.100,203521.669,130568.000,0.000,101280.000,0.000,82.000,0.000,231904.000,0.000,40594.000,0.000,2592.000,0.000
f2,1,2,2,1,1,1,1,10,2966203.600,45371.612,639450.300,17829.585,3274995.000,78799.754,6880713.200,44549.247,130568.000,0.000,141792.000,0.000,82.000,0.000,272416.000,0.000,40594.000,0.000,2592.000,0.000
f3,1,2,2,2,2,2,2,10,3007842.900,76793.613,1268886.100,34337.127,3652088.400,81984.486,7928880.400,112713.193,261136.000,0.000,162048.000,0.000,82.000,0.000,423240.000,0.000,40594.000,0.000,2592.000,0.000
f4,2,1,1,1,1,1,1,10,3976746.400,115422.910,636895.800,19939.635,4276320.300,76512.017,8890090.400,166982.503,130568.000,0.000,141792.000,0.000,123.000,0.000,272464.000,0.000,60891.000,0.000,2592.000,0.000
f5,2,2,2,1,1,1,1,10,4432919.500,49802.257,623528.000,13801.140,4753692.500,71094.440,9810267.900,66110.499,130568.000,0.000,182304.000,0.000,123.000,0.000,312976.000,0.000,60891.000,0.000,2592.000,0.000
f6,2,3,3,2,2,2,2,10,4418004.500,42273.723,1221616.500,17397.236,5134918.500,48541.641,10774667.400,83642.093,261136.000,0.000,243072.000,0.000,123.000,0.000,504312.000,0.000,60891.000,0.000,2592.000,0.000
