"mode","batch_size","num_runs","num_comparisons","exec_tfhe_us_mean","exec_tfhe_us_std","verify_tfhe_us_mean","verify_tfhe_us_std","prover_us_mean","prover_us_std","verifier_us_mean","verifier_us_std","end_to_end_online_us_mean","end_to_end_online_us_std","proof_size_bytes_mean","proof_size_bytes_std","ciphertext_size_bytes_mean","ciphertext_size_bytes_std","metadata_size_bytes_mean","metadata_size_bytes_std","total_online_comm_bytes_mean","total_online_comm_bytes_std","server_state_bytes_mean","server_state_bytes_std","gate_state_bytes_mean","gate_state_bytes_std"
"orhe","8","2","8","74283132","882057.727","8093.5","1181.575","6942800","393957.472","882086.5","8000.913","82116697.5","1282825.344","36261696","0","384864","0","128","0","36302336","0","182673","0","2592","0"
"plain_tfhe","8","2","8","73988203.5","593536.24","0","0","0","0","0","0","73988301.5","593524.926","0","0","182304","0","0","0","0","0","0","0","0","0"
"orhe","16","2","16","146392282","1663825.085","16112.5","430.628","13684340.5","157019.425","1769302","10674.484","161863135","1496563.218","72523392","0","749472","0","256","0","72604672","0","345049","0","2592","0"
"plain_tfhe","16","2","16","148002866.5","2816001.137","0","0","0","0","0","0","148003061","2815996.188","0","0","344352","0","0","0","0","0","0","0","0","0"
"orhe","32","2","32","297355698.5","1573627.251","32771","410.122","27533538","518261.187","3568324.5","55268.173","328492568.5","999674.333","145046784","0","1478688","0","512","0","145209344","0","669801","0","2592","0"
"plain_tfhe","32","2","32","298778479.5","8376953.322","0","0","0","0","0","0","298778860","8376961.101","0","0","668448","0","0","0","0","0","0","0","0","0"
"orhe","64","2","64","942291572.5","3527882.303","87407","1371.787","70020994.5","3537638.963","13772888.5","37874.761","1026178289.5","7101983.227","290093568","0","2937120","0","1024","0","290418688","0","1319305","0","2592","0"
"plain_tfhe","64","2","64","849542691","118280397.283","0","0","0","0","0","0","849543633.5","118280458.801","0","0","1316640","0","0","0","0","0","0","0","0","0"
