label,mode,batch_size,num_comparisons,exec_tfhe_us,verify_tfhe_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,exec_subtraction_us,exec_signbit_pbs_us,exec_internal_ks_us,exec_final_cmp_ks_us,verify_subtraction_us,verify_final_cmp_ks_us,accum_init_us,blind_rotate_us,extract_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,1,1,13839854,0,0,0,13839876,13839854,0,0,13589473,249232,2496,1149,0,0,3,246732,1,0,40512,0,0,0,0
threshold_filter_lt,orhe,1,1,14715308,1603,16549,15419150,30910412,14716911,16549,15419150,14456718,257103,2175,1487,0,1603,3,254924,1,132408,65832,16,137488,40594,2592
