family_member,arity,num_linear_stages,num_pbs,pbs_depth,num_runs,tfhe_eval_us_mean,tfhe_eval_us_std,prover_us_mean,prover_us_std,verifier_us_mean,verifier_us_std,end_to_end_online_us_mean,end_to_end_online_us_std,proof_size_bytes_mean,proof_size_bytes_std,ciphertext_size_bytes_mean,ciphertext_size_bytes_std,metadata_size_bytes_mean,metadata_size_bytes_std,total_online_comm_bytes_mean,total_online_comm_bytes_std,server_state_bytes_mean,server_state_bytes_std,gate_state_bytes_mean,gate_state_bytes_std
f1,1,1,1,1,1,1925426.000,0.000,624191.000,0.000,2281163.000,0.000,4830842.000,0.000,130568.000,0.000,101280.000,0.000,82.000,0.000,231904.000,0.000,40594.000,0.000,2592.000,0.000
f2,1,2,1,1,1,3023948.000,0.000,559164.000,0.000,2923761.000,0.000,6506921.000,0.000,130568.000,0.000,141792.000,0.000,82.000,0.000,272416.000,0.000,40594.000,0.000,2592.000,0.000
f3,1,2,2,2,1,2976372.000,0.000,1289688.000,0.000,3411087.000,0.000,7677208.000,0.000,261136.000,0.000,162048.000,0.000,82.000,0.000,423240.000,0.000,40594.000,0.000,2592.000,0.000
f4,2,1,1,1,1,4015092.000,0.000,530634.000,0.000,4297680.000,0.000,8843527.000,0.000,130568.000,0.000,141792.000,0.000,123.000,0.000,272464.000,0.000,60891.000,0.000,2592.000,0.000
f5,2,2,1,1,1,4610442.000,0.000,511960.000,0.000,4781432.000,0.000,9903956.000,0.000,130568.000,0.000,182304.000,0.000,123.000,0.000,312976.000,0.000,60891.000,0.000,2592.000,0.000
f6,2,3,2,2,1,4438306.000,0.000,1235384.000,0.000,3998850.000,0.000,9672661.000,0.000,261136.000,0.000,243072.000,0.000,123.000,0.000,504312.000,0.000,60891.000,0.000,2592.000,0.000
