label,mode,batch_size,num_comparisons,exec_tfhe_us,verify_tfhe_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,exec_subtraction_us,exec_signbit_pbs_us,exec_internal_ks_us,exec_final_cmp_ks_us,verify_subtraction_us,verify_final_cmp_ks_us,accum_init_us,blind_rotate_us,extract_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,16,16,149994080,0,0,0,149994271,149994080,0,0,147381028,2596804,27300,16248,0,0,34,2569456,14,0,344352,0,0,0,0
threshold_filter_lt,orhe,16,16,147568784,16417,13573311,1761754,162921365,147585201,13573311,1761754,144932672,2619878,26982,16234,0,16417,32,2592851,13,72523392,749472,256,72604672,345049,2592
