label,mode,batch_size,num_comparisons,exec_tfhe_us,verify_tfhe_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,exec_subtraction_us,exec_signbit_pbs_us,exec_internal_ks_us,exec_final_cmp_ks_us,verify_subtraction_us,verify_final_cmp_ks_us,accum_init_us,blind_rotate_us,extract_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,64,64,765905820,0,0,0,765906719,765905820,0,0,752347673,13482276,124180,75871,0,0,151,13357882,63,0,1316640,0,0,0,0
threshold_filter_lt,orhe,64,64,944786162,86437,72522483,13799670,1031200150,944872599,72522483,13799670,928233553,16468244,135248,84365,0,86437,187,16332750,59,290093568,2937120,1024,290418688,1319305,2592
