label,mode,batch_size,num_comparisons,exec_tfhe_us,verify_tfhe_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,exec_subtraction_us,exec_signbit_pbs_us,exec_internal_ks_us,exec_final_cmp_ks_us,verify_subtraction_us,verify_final_cmp_ks_us,accum_init_us,blind_rotate_us,extract_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,64,64,933179562,0,0,0,933180548,933179562,0,0,916742945,16348283,134540,88334,0,0,175,16213500,68,0,1316640,0,0,0,0
threshold_filter_lt,orhe,64,64,939796983,88377,67519506,13746107,1021156429,939885360,67519506,13746107,923119162,16589708,137019,88113,0,88377,176,16452451,62,290093568,2937120,1024,290418688,1319305,2592
