label,mode,batch_size,num_comparisons,exec_tfhe_us,verify_tfhe_us,prover_us,verifier_us,end_to_end_online_us,compare_tfhe_us,compare_prover_us,compare_verifier_us,exec_subtraction_us,exec_signbit_pbs_us,exec_internal_ks_us,exec_final_cmp_ks_us,verify_subtraction_us,verify_final_cmp_ks_us,accum_init_us,blind_rotate_us,extract_us,proof_size_bytes,ciphertext_size_bytes,metadata_size_bytes,total_online_comm_bytes,server_state_bytes,gate_state_bytes
threshold_filter_lt,plain_tfhe,8,8,74407897,0,0,0,74407987,74407897,0,0,73098258,1302286,12604,7353,0,0,19,1289654,9,0,182304,0,0,0,0
threshold_filter_lt,orhe,8,8,74906841,7258,7221370,887744,83023792,74914099,7221370,887744,73560423,1339050,13931,7368,0,7258,18,1325094,7,36261696,384864,128,36302336,182673,2592
